FBA Objective:  Maximize
1.0*BIOMASS_RT_CLIM - 1.0*BIOMASS_RT_CLIM_reverse_12b42
Result:  0.19069533756447
Nonzero fluxes:
Reaction ID: 13GS_c, Flux: 0.19090948842855487
Reaction ID: ADPT_c, Flux: 1.9069533756447e-05
Reaction ID: ADNK1_c, Flux: 0.043110304267862165
Reaction ID: AHCi_c, Flux: 0.043110304267862165
Reaction ID: ADMDC_c, Flux: 1.9069533756447e-05
Reaction ID: ADK1_c, Flux: 2.044334262329416
Reaction ID: ADSL2i_c, Flux: 0.007697035910112513
Reaction ID: ADSL1r_c, Flux: 0.008293530926014167
Reaction ID: ADSS_c, Flux: 0.008293530926014167
Reaction ID: ADSK_c, Flux: 0.009688276624962786
Reaction ID: ALATRS_c, Flux: 0.07365683691562679
Reaction ID: AKP1_c, Flux: 1.9069533756457466e-05
Reaction ID: ANPRT_c, Flux: 0.00490048878473175
Reaction ID: ANS_c, Flux: 0.00490048878473175
Reaction ID: ARGSL_c, Flux: 0.029100871293688376
Reaction ID: ARGSS_c, Flux: 0.029100871293688376
Reaction ID: ARGTRS_c, Flux: 0.029100871293688376
Reaction ID: ASNS1_c, Flux: 0.03498134341816394
Reaction ID: ASNTRS_c, Flux: 0.03498134341816394
Reaction ID: ASPCT_c, Flux: 0.023964683071726948
Reaction ID: ASPK_c, Flux: 0.09501185429278396
Reaction ID: ASPTA_c, Flux: 4.188793361233714
Reaction ID: ASAD_c, Flux: 0.09501185429278396
Reaction ID: ASPTRS_c, Flux: 0.03498134341816394
Reaction ID: ATPPRT_c, Flux: 0.014550435646844188
Reaction ID: ATPASEP2e_c, Flux: 1.1302205703903745
Reaction ID: C14STR_c, Flux: 0.019559811469325252
Reaction ID: C3STDH2_c, Flux: 0.019559811469325252
Reaction ID: C3STDH1_c, Flux: 0.019559811469325252
Reaction ID: C4STMO1_c, Flux: 0.019559811469325252
Reaction ID: C4STMO2_c, Flux: 0.019559811469325252
Reaction ID: C4STMO3_c, Flux: 0.019559811469325252
Reaction ID: C4STMO4_c, Flux: 0.019559811469325252
Reaction ID: C8STI_c, Flux: 0.019559811469325252
Reaction ID: CBPS_c, Flux: 0.053065554365415324
Reaction ID: CERH126A_r, Flux: 0.0003852522557146205
Reaction ID: CHTNS_c, Flux: 0.00451356794481344
Reaction ID: CHORM_c, Flux: 0.04312365294149168
Reaction ID: CHORS_c, Flux: 0.048024141726223435
Reaction ID: FRTT_l, Flux: 0.0029563498182619777
Reaction ID: GGTT_l, Flux: 0.0029563498182619777
Reaction ID: PPTT_l, Flux: 0.0029563498182619777
Reaction ID: PRENT6_l, Flux: 0.0029563498182619777
Reaction ID: PRENT7_l, Flux: 0.0029563498182619777
Reaction ID: PRENT8_l, Flux: 0.0029563498182619777
Reaction ID: PRENT9_l, Flux: 0.0029563498182619777
Reaction ID: PRENT10_l, Flux: 0.0029563498182619777
Reaction ID: PRENT11_l, Flux: 0.0029563498182619777
Reaction ID: PRENT12_l, Flux: 0.0029563498182619777
Reaction ID: PRENT13_l, Flux: 0.0029563498182619777
Reaction ID: PRENT14_l, Flux: 0.002627866505121758
Reaction ID: PRENT15_l, Flux: 0.0022993831919815386
Reaction ID: PRENT16_l, Flux: 0.0019708998788413186
Reaction ID: PRENT17_l, Flux: 0.0016424165657010989
Reaction ID: PRENT18_l, Flux: 0.001313933252560879
Reaction ID: PRENT19_l, Flux: 0.0009854499394206593
Reaction ID: PRENT20_l, Flux: 0.0006569666262804395
Reaction ID: PRENT21_l, Flux: 0.0003284833131402198
Reaction ID: CS_m, Flux: 0.2273435489270149
Reaction ID: CPPPGO_c, Flux: 1.9069533756447e-05
Reaction ID: CTPS2_c, Flux: 0.01556150232661102
Reaction ID: CYSTS_c, Flux: 0.001074568227175679
Reaction ID: CYSTGL_c, Flux: 0.001074568227175679
Reaction ID: CYSTRS_c, Flux: 0.0010554986934193415
Reaction ID: LNS14DMy_c, Flux: 0.019559811469325252
Reaction ID: DHFRi_c, Flux: 0.001372052953776372
Reaction ID: DHFS_1_c, Flux: 1.9069533756457466e-05
Reaction ID: DHNPA2i_m, Flux: 1.9069533756457466e-05
Reaction ID: DHORTS_c, Flux: -0.023964683071726948
Reaction ID: DHPTS_m, Flux: 1.9069533756457466e-05
Reaction ID: DHAD1_m, Flux: 0.11564966650536115
Reaction ID: DHAD2_m, Flux: 0.04440531630526248
Reaction ID: DMATT_c, Flux: 0.042095042290668926
Reaction ID: DOLPMT_c, Flux: 0.022071841151062015
Reaction ID: DTMPK_c, Flux: 0.0013529834200199146
Reaction ID: DUTPDP_c, Flux: 0.0013529834200199146
Reaction ID: ENO_c, Flux: 1.1336673820204735
Reaction ID: AFAT_c, Flux: 1.9069533756447e-05
Reaction ID: FDH_c, Flux: 1.3690494196847738
Reaction ID: FBA_c, Flux: 0.7511002783288706
Reaction ID: FUM_c, Flux: 0.04509143812981531
Reaction ID: DHORDfum_c, Flux: 0.023964683071726948
Reaction ID: GRTT_c, Flux: 0.042095042290668926
Reaction ID: G6PDH2i_c, Flux: 0.8209542264490466
Reaction ID: PGI_c, Flux: 1.0335371267412488
Reaction ID: GLUDy_c, Flux: 2.083816776331779
Reaction ID: GLNS_c, Flux: 0.2244831188648138
Reaction ID: GF6PTA_c, Flux: 0.013665990671220176
Reaction ID: GLNTRS_c, Flux: 0.05835258259939026
Reaction ID: GLUTRS_c, Flux: 0.05835258259939026
Reaction ID: GAPD_c, Flux: 2.3543907675893263
Reaction ID: G3PD1r_c, Flux: 0.06982156569140854
Reaction ID: GARFT_c, Flux: 0.007697035910112511
Reaction ID: GLYCL_m, Flux: 1.0776696548834543
Reaction ID: GHMT2r_c, Flux: 2.230211448068832
Reaction ID: GLYTRS_c, Flux: 0.06702254612175888
Reaction ID: GMPS2_c, Flux: 0.013953940630942532
Reaction ID: GTPCI_c, Flux: 1.9069533756457466e-05
Reaction ID: GTPCII2_c, Flux: 3.8139067512894e-05
Reaction ID: GK1_c, Flux: 0.013953940630942532
Reaction ID: HOMOX_m, Flux: 1.9069533756447e-05
Reaction ID: HEMEOS_m, Flux: 1.9069533756447e-05
Reaction ID: HEX1_c, Flux: 2.09564029108156
Reaction ID: HISTD_c, Flux: 0.014550435646844188
Reaction ID: HISTP_c, Flux: 0.014550435646844188
Reaction ID: HSTPT_c, Flux: 0.014550435646844188
Reaction ID: HISTRS_c, Flux: 0.014550435646844188
Reaction ID: HACNH_m, Flux: 0.04953177906500813
Reaction ID: HICITD_m, Flux: 0.04953177906500813
Reaction ID: HSK_c, Flux: 0.08532357766782117
Reaction ID: HSERTA_c, Flux: 0.009688276624962786
Reaction ID: PPBNGD_c, Flux: 1.9069533756447e-05
Reaction ID: HMGCOAR_c, Flux: 0.17063037414593643
Reaction ID: HMGCOAS_c, Flux: 0.17063037414593643
Reaction ID: IG3PS_c, Flux: 0.014550435646844188
Reaction ID: IGPDH_c, Flux: 0.014550435646844188
Reaction ID: IGPS_c, Flux: 0.00490048878473175
Reaction ID: PPA_c, Flux: 2.6242374489956086
Reaction ID: ICDHx_m, Flux: 0.22734354892828498
Reaction ID: ILETA_m, Flux: -0.04440531630526248
Reaction ID: ILETRS_c, Flux: 0.04440531630526248
Reaction ID: IPDDI_c, Flux: 0.042095042290668926
Reaction ID: KARA2i_m, Flux: 0.04440531630526248
Reaction ID: AASADy_c, Flux: 0.04953177906500813
Reaction ID: THRD_L_m, Flux: 0.0433307480780868
Reaction ID: LNSTLS_c, Flux: 0.019559811469325252
Reaction ID: LEUTA_c, Flux: -0.060388064632553404
Reaction ID: LEUTRS_c, Flux: 0.060388064632553404
Reaction ID: LYSTRS_c, Flux: 0.04953177906500813
Reaction ID: MDH_m, Flux: 4.650167572491382
Reaction ID: ME1_m, Flux: 0.07350428064557527
Reaction ID: MAN1PT_c, Flux: 0.07330538540849549
Reaction ID: MAN6PI_c, Flux: -0.07330538540849549
Reaction ID: METAT_c, Flux: 0.043148443335375056
Reaction ID: METS_c, Flux: 0.05172401266564927
Reaction ID: METTRS_c, Flux: 0.008594638864030663
Reaction ID: MEVK1_c, Flux: 0.17063037414593643
Reaction ID: DPMVD_c, Flux: 0.17063037414593643
Reaction ID: AGPRi_m, Flux: 0.0609349788606883
Reaction ID: ACGAM6PS_c, Flux: 0.013665990671220176
Reaction ID: NADS2_c, Flux: 3.813906751315432e-05
Reaction ID: NADHK1_c, Flux: 1.906953375652165e-05
Reaction ID: NAMNPP_c, Flux: 3.813906751315432e-05
Reaction ID: NDPK3_c, Flux: 0.03570798537317338
Reaction ID: NDPK8_c, Flux: 0.0013529834200199146
Reaction ID: NDPK7_c, Flux: 0.002111760168188941
Reaction ID: NDPK5_c, Flux: 0.002111760168188941
Reaction ID: NDPK4_c, Flux: 0.0013529834200199146
Reaction ID: NDPK1_c, Flux: 0.09344109679726324
Reaction ID: NDPK6_c, Flux: 0.0013529834200199146
Reaction ID: NDPK2_c, Flux: 0.27742662821419195
Reaction ID: AHSERL2_c, Flux: 0.009688276624962786
Reaction ID: OCBT_c, Flux: 0.029100871293688376
Reaction ID: ORNDC_c, Flux: 1.9069533756447e-05
Reaction ID: ORNTACi_m, Flux: 0.0609349788606883
Reaction ID: ORPT_c, Flux: -0.023964683071726948
Reaction ID: OMPDC_c, Flux: 0.023964683071726948
Reaction ID: PTPAT_c, Flux: 1.906953375634124e-05
Reaction ID: PNTK_c, Flux: 1.906953375634124e-05
Reaction ID: PHETA1_c, Flux: -0.02834705262429603
Reaction ID: PHETRS_c, Flux: 0.02834705262429603
Reaction ID: PRAIS_c, Flux: 0.007697035910112511
Reaction ID: ACGAMPM_c, Flux: 0.013665990671220176
Reaction ID: PAPSR_c, Flux: 0.009688276624962786
Reaction ID: PFK_c, Flux: 0.7511002783288706
Reaction ID: GND_c, Flux: 0.8209542264490466
Reaction ID: PGCD_c, Flux: 1.2207233855688528
Reaction ID: PGK_c, Flux: 2.3543907675893263
Reaction ID: PGM_c, Flux: 1.1336673820204735
Reaction ID: PMANM_c, Flux: -0.07330538540849549
Reaction ID: PMEVK_c, Flux: 0.17063037414593643
Reaction ID: PPNCL2_c, Flux: 1.906953375634124e-05
Reaction ID: PPCDC_c, Flux: 1.906953375634124e-05
Reaction ID: PRASCSi_c, Flux: 0.007697035910112511
Reaction ID: PRAMPC_c, Flux: 0.014550435646844188
Reaction ID: PRATPP_c, Flux: 0.014550435646844188
Reaction ID: AIRC1_c, Flux: 0.007697035910112511
Reaction ID: PRAGSi_c, Flux: 0.007697035910112511
Reaction ID: GLUPRT_c, Flux: 0.007697035910112511
Reaction ID: PSERT_c, Flux: 1.2207233855688528
Reaction ID: PSPHS_r, Flux: 0.0003852522557146205
Reaction ID: PPBNGS_1_c, Flux: 7.6278135025788e-05
Reaction ID: PPNDH_c, Flux: 0.02834705262429603
Reaction ID: PPND2_c, Flux: 0.01477660031719565
Reaction ID: PROTRS_c, Flux: 0.03181503803324348
Reaction ID: PPPGO_m, Flux: 9.5347668782235e-06
Reaction ID: PC_c, Flux: 0.7107770154460109
Reaction ID: PDH_m, Flux: 0.276875327992023
Reaction ID: PYK_c, Flux: 1.0376190985680265
Reaction ID: RBFK_c, Flux: 1.9069533756447e-05
Reaction ID: RBFSa_c, Flux: 7.6278135025788e-05
Reaction ID: RBFSb_c, Flux: 3.8139067512894e-05
Reaction ID: RNDR1_c, Flux: 0.0013529834200199146
Reaction ID: RNDR3_c, Flux: 0.002111760168188941
Reaction ID: RNDR2_c, Flux: 0.002111760168188941
Reaction ID: RPI_c, Flux: -0.02253174375477808
Reaction ID: RPE_c, Flux: 0.8434096920687989
Reaction ID: SAM24MT_c, Flux: 0.019559811469325252
Reaction ID: SACCD2_c, Flux: 0.04953177906500813
Reaction ID: SACCD1_c, Flux: 0.04953177906500813
Reaction ID: SERPT_r, Flux: 0.001541009022858482
Reaction ID: SERTRS_c, Flux: 0.04018332153158512
Reaction ID: SHK3Di_c, Flux: 0.048024141726223435
Reaction ID: SHKK_c, Flux: 0.048024141726223435
Reaction ID: SQLEy_r, Flux: 0.019559811469325252
Reaction ID: SQLS_c, Flux: 0.019559811469325252
Reaction ID: SADT_c, Flux: 0.009688276624962786
Reaction ID: SO3R_c, Flux: 0.009688276624962786
Reaction ID: TMDPK_c, Flux: 1.9069533756447e-05
Reaction ID: TRDR_c, Flux: 0.016617763801380497
Reaction ID: THRS_c, Flux: 0.08532357766782117
Reaction ID: THRTRS_c, Flux: 0.04199282958973437
Reaction ID: TMDS_c, Flux: 0.0013529834200199146
Reaction ID: TALA_c, Flux: -0.07372066530321952
Reaction ID: TPI_c, Flux: 0.6812787126374621
Reaction ID: TRPS1_c, Flux: 0.00490048878473175
Reaction ID: TRPTRS_c, Flux: 0.00490048878473175
Reaction ID: TYRTA_c, Flux: 0.01477660031719565
Reaction ID: TYRTRS_c, Flux: 0.01477660031719565
Reaction ID: UAGDP_c, Flux: 0.013665990671220176
Reaction ID: UMPK_c, Flux: 0.026921032889988927
Reaction ID: UPPDC1_c, Flux: 1.9069533756447e-05
Reaction ID: UPP3S_c, Flux: 1.9069533756447e-05
Reaction ID: GALUi_c, Flux: 0.24114893789126476
Reaction ID: VALTA_c, Flux: 0.060388064632553404
Reaction ID: VALTA_m, Flux: -0.11564966650536115
Reaction ID: VALTRS_c, Flux: 0.05526160187280776
Reaction ID: 2OXOADPt_c_m, Flux: 0.04953177906500813
Reaction ID: ADPATPt_c_m, Flux: 19.512330538940557
Reaction ID: ASPGLUt_c_m, Flux: 4.422824023564368
Reaction ID: CITMALta_m, Flux: -1.270095140171179e-12
Reaction ID: GLCt_c_e, Flux: 2.09564029108156
Reaction ID: GLYCtps_e, Flux: -0.049224180890395
Reaction ID: INOSTtps_e, Flux: 0.008963825037555478
Reaction ID: FE2t_c_e, Flux: 0.00014569123789925508
Reaction ID: FE2t_c_m, Flux: 1.9069533756447e-05
Reaction ID: GLUt_c_m, Flux: 0.3555817774476271
Reaction ID: NACt_c_e, Flux: 3.813906751315432e-05
Reaction ID: ORNtpa_m, Flux: 0.02911994082744482
Reaction ID: PNTOtps_e, Flux: 1.906953375634124e-05
Reaction ID: PItps_e, Flux: 0.01614731840360739
Reaction ID: PItps_m, Flux: 19.512330538940557
Reaction ID: SUCFUMt_c_m, Flux: 0.023964683071726948
Reaction ID: SO4t_c_e, Flux: 0.01564235714973823
Reaction ID: UREAtps_e, Flux: 0.5771477343860469
Reaction ID: H2Ot_c_e, Flux: -6.452146193540508
Reaction ID: 13BDGLUCANt_c_en, Flux: 0.19090948842855487
Reaction ID: EX_pnto__R_e, Flux: -1.906953375634124e-05
Reaction ID: 2OBUTt_c_m, Flux: 0.001074568227175679
Reaction ID: EX_4abz_e, Flux: -1.9069533756457466e-05
Reaction ID: 4ABZt_c_e, Flux: -1.9069533756457466e-05
Reaction ID: 4ABZt_c_m, Flux: 1.9069533756457466e-05
Reaction ID: 5AOPt_c_m, Flux: -0.000152556270051576
Reaction ID: HCO3E_c, Flux: 1.1694703872918304
Reaction ID: EX_co2_e, Flux: 4.445191361953702
Reaction ID: CO2t_c_r, Flux: -0.001541009022858482
Reaction ID: CO2t_c_m, Flux: -2.0862746485363846
Reaction ID: CO2t_c_e, Flux: 4.445191361953702
Reaction ID: COAt_c_r, Flux: -0.006321741135599745
Reaction ID: CYTK1_c, Flux: 0.029465099388436417
Reaction ID: EX_glc__D_e, Flux: -2.09564029108156
Reaction ID: DPCOAK_c, Flux: 1.906953375634124e-05
Reaction ID: DHNPTt_c_m, Flux: 1.9069533756457466e-05
Reaction ID: DHPTt_c_m, Flux: -1.9069533756457466e-05
Reaction ID: DOLPt_c_r, Flux: -0.022071841151062015
Reaction ID: FRDPt_c_m, Flux: 1.9069533756447e-05
Reaction ID: EX_for_e, Flux: 0.7978528925706965
Reaction ID: FORt_c_e, Flux: -0.7978528925706965
Reaction ID: GDPt_c_g, Flux: 0.03645179516612357
Reaction ID: GDPMANNt_c_g, Flux: 0.03645179516612357
Reaction ID: EX_glyc_e, Flux: 0.049224180890395
Reaction ID: GLYt_c_m, Flux: 2.15549186603696
Reaction ID: GCALDt_c_m, Flux: -1.9069533756457466e-05
Reaction ID: Ht_c_r, Flux: -4.281110328322596e-05
Reaction ID: Ht_c_g, Flux: -0.03645179516612357
Reaction ID: Ht_c_l, Flux: -0.0009879978014812477
Reaction ID: HXCCOAt_c_r, Flux: 0.000770504511429241
Reaction ID: EX_fe2_e, Flux: -0.00014569123789925508
Reaction ID: ALAt_c_m, Flux: 0.07365683691562679
Reaction ID: ILEt_c_m, Flux: 0.04440531630526248
Reaction ID: PROt_c_m, Flux: -0.03181503803324348
Reaction ID: SERt_c_r, Flux: 0.001541009022858482
Reaction ID: EX_inost_e, Flux: -0.008963825037555478
Reaction ID: NADPt_c_r, Flux: -0.021871325003612975
Reaction ID: NADPHt_c_r, Flux: 0.021871325003612975
Reaction ID: NH4t_c_m, Flux: -1.1528154409947848
Reaction ID: EX_nac_e, Flux: -3.813906751315432e-05
Reaction ID: O2t_c_r, Flux: 0.020330315980754493
Reaction ID: O2t_c_m, Flux: 3.1896523755081443
Reaction ID: O2t_c_e, Flux: 3.438334307518406
Reaction ID: EX_o2_e, Flux: -3.438334307518406
Reaction ID: PMTCOAt_c_r, Flux: 0.004780732112741263
Reaction ID: EX_pi_e, Flux: -0.01614731840360739
Reaction ID: PPPG9t_c_m, Flux: 1.9069533756447e-05
Reaction ID: PMDPHT_c, Flux: 3.8139067512894e-05
Reaction ID: PPIt_c_m, Flux: -1.9069533756447e-05
Reaction ID: PYRtps_m, Flux: 0.3317425719067474
Reaction ID: SERt_c_m, Flux: -1.0776696548834543
Reaction ID: SQLt_c_r, Flux: 0.019559811469325252
Reaction ID: SSQ23EPXt_c_r, Flux: 0.019559811469325252
Reaction ID: EX_so4_e, Flux: -0.01564235714973823
Reaction ID: TTCCOAt_c_r, Flux: 0.000770504511429241
Reaction ID: EX_thm_e, Flux: -1.9069533756447e-05
Reaction ID: THRt_c_m, Flux: 0.0433307480780868
Reaction ID: EX_urea_e, Flux: -0.5771477343860469
Reaction ID: VALt_c_m, Flux: -0.11564966650536115
Reaction ID: H2Ot_c_r, Flux: -0.020330315980754493
Reaction ID: H2Ot_c_m, Flux: -24.758061199218925
Reaction ID: AKGMALta_m, Flux: 4.94466181480954
Reaction ID: 3OACE200_rm, Flux: 0.004535467898908082
Reaction ID: 3OACE220_rm, Flux: 0.004535467898908082
Reaction ID: 3OACE240_rm, Flux: 0.003710031211801676
Reaction ID: 3OACE260_rm, Flux: 0.000770504511429241
Reaction ID: 3OACR200_rm, Flux: 0.004535467898908082
Reaction ID: 3OACR220_rm, Flux: 0.004535467898908082
Reaction ID: 3OACR240_rm, Flux: 0.003710031211801676
Reaction ID: 3OACR260_rm, Flux: 0.000770504511429241
Reaction ID: 3HACD200_rm, Flux: 0.004535467898908082
Reaction ID: 3HACD220_rm, Flux: 0.004535467898908082
Reaction ID: 3HACD240_rm, Flux: 0.003710031211801676
Reaction ID: 3HACD260_rm, Flux: 0.000770504511429241
Reaction ID: ECOAR200_rm, Flux: 0.004535467898908082
Reaction ID: ECOAR220_rm, Flux: 0.004535467898908082
Reaction ID: ECOAR240_rm, Flux: 0.003710031211801676
Reaction ID: ECOAR260_rm, Flux: 0.000770504511429241
Reaction ID: ACOADS180_rm, Flux: 0.028767938468226655
Reaction ID: FACOAL160_rm, Flux: 7.621445621510677e-05
Reaction ID: FACOAL180_rm, Flux: 5.081096264839224e-05
Reaction ID: FACOAL181_rm, Flux: 8.77424775023394e-05
Reaction ID: FACOAL181_l, Flux: 5.534441983019587e-06
Reaction ID: FACOAL220_rm, Flux: 1.0205454001852829e-05
Reaction ID: FACOAL220_l, Flux: 5.009959357773045e-07
Reaction ID: HDCAt_c_rm, Flux: 2.941717836315719e-05
Reaction ID: OCDCAt_c_rm, Flux: 1.9647953643864347e-05
Reaction ID: OCDCEAt_c_rm, Flux: 3.0522445836480686e-05
Reaction ID: MALCOAt_c_rm, Flux: 0.013551471521047076
Reaction ID: PMTCOAt_c_rm, Flux: 0.007473533741317644
Reaction ID: STCOAt_c_rm, Flux: 0.03828008593087879
Reaction ID: TTCCOAt_c_rm, Flux: -0.0007718041349663221
Reaction ID: HXCCOAt_c_rm, Flux: -0.000770504511429241
Reaction ID: Ht_c_rm, Flux: 0.04362426257833808
Reaction ID: H2Ot_c_rm, Flux: -0.11810181899718168
Reaction ID: CO2t_c_rm, Flux: -0.01355147152104708
Reaction ID: COAt_c_rm, Flux: -0.057771622653534464
Reaction ID: NADPHt_c_rm, Flux: 0.02710294304209416
Reaction ID: NADPt_c_rm, Flux: -0.02710294304209416
Reaction ID: O2t_c_rm, Flux: 0.052275173738067296
Reaction ID: NADHt_c_rm, Flux: 0.052275173738067296
Reaction ID: NADt_c_rm, Flux: -0.052275173738067296
Reaction ID: GLYC3Pt_c_rm, Flux: 0.02107802381013343
Reaction ID: PPIt_c_rm, Flux: -0.029793459581299832
Reaction ID: CTPt_c_rm, Flux: 0.037800676007605984
Reaction ID: CDPt_c_rm, Flux: -0.008354646152925912
Reaction ID: CMPt_c_rm, Flux: -0.029446029854680072
Reaction ID: ATPt_c_rm, Flux: 0.0003474297266197621
Reaction ID: AMPt_c_rm, Flux: -0.0003474297266197621
Reaction ID: SERt_c_rm, Flux: 0.020482204817124594
Reaction ID: INOSTt_c_rm, Flux: 0.008963825037555478
Reaction ID: AMETt_c_rm, Flux: 0.023550492798536916
Reaction ID: AHCYSt_c_rm, Flux: -0.023550492798536916
Reaction ID: OCDCEAt_c_l, Flux: 5.534441983019585e-06
Reaction ID: PMTCOAt_c_l, Flux: 4.526331281102685e-06
Reaction ID: STCOAt_c_l, Flux: 3.014151868335711e-06
Reaction ID: GLYC3Pt_c_l, Flux: 1.335989162072962e-05
Reaction ID: ATPt_c_l, Flux: 2.6719783241457175e-05
Reaction ID: AMPt_c_l, Flux: -2.6719783241457175e-05
Reaction ID: PPIt_c_l, Flux: -0.04437196705717111
Reaction ID: H2Ot_c_l, Flux: 0.0009879978014812477
Reaction ID: GLYCt_c_l, Flux: 0.0004939989007406234
Reaction ID: TTCCOAt_c_l, Flux: -1.2996235370811961e-06
Reaction ID: CO2t_c_mm, Flux: -0.01946541727723084
Reaction ID: Ht_m_mm, Flux: 0.03893083455446168
Reaction ID: uniDOLDP_l, Flux: 0.0003284833131402198
Reaction ID: EX_k_e, Flux: -0.11511324052079232
Reaction ID: EX_h2o_e, Flux: 6.452146193540508
Reaction ID: HSDx_c, Flux: 0.09501185429278396
Reaction ID: ME2_m, Flux: 0.22098996167131194
Reaction ID: HEMEAt_c_m, Flux: 1.9069533756447e-05
Reaction ID: PYDX5PS_c, Flux: 1.9069533756447e-05
Reaction ID: AICART_c, Flux: 0.0222474715569567
Reaction ID: HCITS_m, Flux: 0.04953177906500813
Reaction ID: MTHFD_c, Flux: 2.1771344519831626
Reaction ID: IMPD_c, Flux: 0.013953940630942532
Reaction ID: TKT2_c, Flux: -0.12174480702944296
Reaction ID: TKT1_c, Flux: -0.07372066530321952
Reaction ID: PSP_L_c, Flux: 1.2207233855688528
Reaction ID: IMPC_c, Flux: 0.0222474715569567
Reaction ID: SUCDq9_m, Flux: 0.023964683071726948
Reaction ID: PGL_c, Flux: 0.8209542264490466
Reaction ID: IPPS_c, Flux: 0.060388064632553404
Reaction ID: 3OAS140_c, Flux: 0.050541892268087134
Reaction ID: 3HAD120_c, Flux: 0.050541892268087134
Reaction ID: 3OAR80_c, Flux: 0.050541892268087134
Reaction ID: 3OAS100_c, Flux: 0.050541892268087134
Reaction ID: 3HAD80_c, Flux: 0.050541892268087134
Reaction ID: 3HAD180_c, Flux: 0.03828310008274712
Reaction ID: 3OAS120_c, Flux: 0.050541892268087134
Reaction ID: 3HAD60_c, Flux: 0.050541892268087134
Reaction ID: 3OAS160_c, Flux: 0.050541892268087134
Reaction ID: 3OAS80_c, Flux: 0.050541892268087134
Reaction ID: EAR100y_c, Flux: 0.050541892268087134
Reaction ID: 3HAD40_c, Flux: 0.050541892268087134
Reaction ID: 3OAS60_c, Flux: 0.050541892268087134
Reaction ID: 3OAS40_c, Flux: 0.050541892268087134
Reaction ID: 3HAD100_c, Flux: 0.050541892268087134
Reaction ID: 3OAS180_c, Flux: 0.03828310008274712
Reaction ID: 3HAD140_c, Flux: 0.050541892268087134
Reaction ID: 3OAR60_c, Flux: 0.050541892268087134
Reaction ID: 3OAR140_c, Flux: 0.050541892268087134
Reaction ID: 3OAR100_c, Flux: 0.050541892268087134
Reaction ID: 3OAR120_c, Flux: 0.050541892268087134
Reaction ID: EAR180y_c, Flux: 0.03828310008274712
Reaction ID: ACKr_c, Flux: -1.0388751644014615
Reaction ID: 3OAR160_c, Flux: 0.050541892268087134
Reaction ID: 3OAR40_c, Flux: 0.050541892268087134
Reaction ID: DOLDPP_c, Flux: 0.002956349818261978
Reaction ID: 3HAD160_c, Flux: 0.050541892268087134
Reaction ID: UREA_c, Flux: 0.5771477343860469
Reaction ID: EAR80y_c, Flux: 0.050541892268087134
Reaction ID: ACOATA_c, Flux: 0.050541892268087134
Reaction ID: EAR140y_c, Flux: 0.050541892268087134
Reaction ID: EAR160y_c, Flux: 0.050541892268087134
Reaction ID: EAR120y_c, Flux: 0.050541892268087134
Reaction ID: 3OAR180_c, Flux: 0.03828310008274712
Reaction ID: ACITL_c, Flux: -1.270095140171179e-12
Reaction ID: NGLYCANS1_c, Flux: 0.002956349818261978
Reaction ID: NGLYCANS2_c, Flux: 0.002956349818261978
Reaction ID: NGLYCANS3_c, Flux: 0.002956349818261978
Reaction ID: NGLYCANS4_c, Flux: 0.002956349818261978
Reaction ID: NGLYCANS5_c, Flux: 0.002956349818261978
Reaction ID: NGLYCANS6_c, Flux: 0.002956349818261978
